id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,SBG0001SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,40,10,Hutan Desa Sei Kuning,Mineral,Sungai Kuning,0.5506793,100.5430455,222.3557169,3.66,Belum,-,-,Ilham Fajri,10/13/2021 4:50,"200,000.00","1,184.59",-,Chave et al. 2014.,media/1634093366454.jpg,media/1634093316842.jpg,media/1634093280687.jpg,media/1634093412092.jpg,adopsipohonriau/1
2,SBG0002SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,35,10,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5510138,100.543183,240.0816074,3.69,Belum,-,-,Ilham Fajri,10/13/2021 4:56,"50,000.00",912.78,-,Chave et al. 2014.,media/1634093762784.jpg,media/1634093726201.jpg,media/1634093692114.jpg,media/1634093794897.jpg,adopsipohonriau/2
3,SBG0003SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,60,20,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5509508,100.5431842,240.8350866,3.69,Belum,-,-,Taufik Hidayat,10/13/2021 5:03,"200,000.00","5,141.66",-,Chave et al. 2014.,media/1634094196137.jpg,media/1634094137521.jpg,media/1634094107381.jpg,media/1634094220804.jpg,adopsipohonriau/3
4,SBG0004SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,42,8,Hutan Desa Sei Kuning,Mineral,Sungai Kuning,0.5508324,100.5432179,249.0031628,3.68,Belum,-,-,Taufik Hidayat,10/13/2021 5:11,"200,000.00","1,047.96",-,Chave et al. 2014.,media/1634094597842.jpg,media/1634094559884.jpg,media/1634094521536.jpg,media/1634094664459.jpg,adopsipohonriau/4
5,SBG0005SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,70,20,Hutan Desa Sei Kuning,Mineral,Sungai Kuning,0.5508111,100.5432748,244.4921492,3.68,Belum,-,-,Taufik Hidayat,10/13/2021 5:15,"200,000.00","6,946.77",-,Chave et al. 2014.,media/1634094891009.jpg,media/1634094850970.jpg,media/1634094819999.jpg,media/1634094917843.jpg,adopsipohonriau/5
6,SBG0006SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,37,9,Hutan Desa Sei Kuning,Mineral,Sungai Kuning,0.5505565,100.5432905,245.9358426,3.66,Belum,-,-,Taufik Hidayat,10/13/2021 5:22,"50,000.00",917.95,-,Chave et al. 2014.,media/1634095273512.jpg,media/1634095236324.jpg,media/1634095173692.jpg,media/1634095331377.jpg,adopsipohonriau/6
7,SBG0007SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,90,15,Hutan Desa Sei Kuning,Mineral,Sungai Kuning,0.5505974,100.5432118,246.0151619,3.66,Belum,-,-,Taufik Hidayat,10/13/2021 5:28,"200,000.00","8,568.27",-,Chave et al. 2014.,media/1634095687213.jpg,media/1634095649170.jpg,media/1634095563466.jpg,media/1634095711962.jpg,adopsipohonriau/7
8,SBG0008SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,37,10,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.550557,100.5432593,240.5387613,3.66,Belum,-,-,Taufik Hidayat,10/13/2021 5:33,"50,000.00","1,017.36",-,Chave et al. 2014.,media/1634095966356.jpg,media/1634095903319.jpg,media/1634095851419.jpg,media/1634095989701.jpg,adopsipohonriau/8
9,SBG0009SK,Kayu Aro,Ficus vadana ,Pohon Muda,icon/young_tree.svg,Least Concern,10,6,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5503023,100.5435769,207.9326505,3.65,Belum,-,-,Taufik Hidayat,10/13/2021 5:43,"50,000.00",29.38,-,Chave et al. 2014.,media/1634096581180.jpg,media/1634096535061.jpg,media/1634096482258.jpg,media/1634096611826.jpg,adopsipohonriau/9
10,SBG0010SK,Medang,Litsea sp.,Pohon Dewasa,icon/mature_tree.svg,-,41,30,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5500244,100.5436595,208.1955628,3.63,Belum,-,-,Taufik Hidayat,10/13/2021 5:52,"200,000.00","3,074.54",-,Chave et al. 2014.,media/1634097005949.jpg,media/1634096973321.jpg,media/1634096941741.jpg,media/1634097120719.jpg,adopsipohonriau/10
11,SBG0011SK,Pohon Telunjuk,-,Pohon Dewasa,icon/mature_tree.svg,-,45,30,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5499927,100.5437699,206.8850706,3.64,Belum,-,-,Taufik Hidayat,10/13/2021 5:59,"200,000.00","4,247.34",-,Chave et al. 2014.,media/1634097499904.jpg,media/1634097470328.jpg,media/1634097403648.jpg,media/1634097529589.jpg,adopsipohonriau/11
12,SBG0012SK,Medang,Litsea sp.,Pohon Dewasa,icon/mature_tree.svg,-,46,30,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5500722,100.5437804,206.7363059,3.64,Belum,-,-,Taufik Hidayat,10/13/2021 6:05,"200,000.00","5,107.37",-,Chave et al. 2014.,media/1634097860026.jpg,media/1634097801223.jpg,media/1634097766769.jpg,media/1634097908922.jpg,adopsipohonriau/12
13,SBG0013SK,Bintangur,Calophyllum sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43,28,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5500386,100.5437276,206.8008495,3.64,Belum,-,-,Taufik Hidayat,10/13/2021 6:10,"200,000.00","4,660.15",-,Chave et al. 2014.,media/1634098191793.jpg,media/1634098151508.jpg,media/1634098121503.jpg,media/1634098225812.jpg,adopsipohonriau/13
14,SBG0014SK,Meranti Kunyit,Shorea hemsleyana,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,40,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5502764,100.5437778,230.017131,3.66,Belum,-,-,Taufik Hidayat,10/13/2021 6:16,"200,000.00","3,055.98",-,Chave et al. 2014.,media/1634098530411.jpg,media/1634098487016.jpg,media/1634098458924.jpg,media/1634098555354.jpg,adopsipohonriau/14
15,SBG0015SK,Mempening,Quercus spp,Pohon Muda,icon/young_tree.svg,-,37,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5500891,100.5439105,230.2312813,3.65,Belum,-,-,Taufik Hidayat,10/13/2021 6:22,"50,000.00","2,313.50",-,Chave et al. 2014.,media/1634098911025.jpg,media/1634098866190.jpg,media/1634098833475.jpg,media/1634098941689.jpg,adopsipohonriau/15
16,SBG0016SK,Mempening,Quercus spp,Pohon Dewasa,icon/mature_tree.svg,-,43,19,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5502993,100.5439157,268.8459843,3.67,Belum,-,-,Taufik Hidayat,10/13/2021 6:29,"200,000.00","3,668.71",-,Chave et al. 2014.,media/1634099319466.jpg,media/1634099287206.jpg,media/1634099266604.jpg,media/1634099341162.jpg,adopsipohonriau/16
17,SBG0017SK,Kempas,Koompassia malaccensis,Pohon Muda,icon/young_tree.svg,Conservation dependent,37.5,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5504681,100.544302,274.8811467,3.71,Belum,-,-,Taufik Hidayat,10/13/2021 6:39,"50,000.00","1,799.03",-,Chave et al. 2014.,media/1634099920746.jpg,media/1634099894965.jpg,media/1634099855506.jpg,media/1634099939136.jpg,adopsipohonriau/17
